Character,Pinyin,Translation
爱,ài,aimer ; amour
八,bā,huit ; 8
爸,bà,papa
杯,bēi,tasse ; verre
北,běi,nord
本,běn,racine ; cahier
不,bù,non
菜,cài,légume ; plat
茶,chá,thé
唱,chàng,chanter
车,chē,voiture
吃,chī,manger
出,chū,sortir
打,dǎ,frapper ; faire
大,dà,grand ; âgé
的,de,particule
点,diǎn,point ; heure
店,diàn,boutique
电,diàn,électricité
东,dōng,est
斗,dǒu,tous ; global
读,dú,lire ; étudier
对,duì,juste ; vrai ; paire
多,duō,beaucoup ; nombreux
儿,ér,enfant
二,èr,deux ; 2
饭,fàn,riz ; repas
飞,fēi,voler
分,fēn,centime ; minute
服,fú,vêtement ; servir
高,gāo,grand
歌,gē,chant
个,gè,individuel ; spécificatif
工,gōng,travail
狗,gǒu,chien
关,guān,fermer
馆,guǎn,hôtel ; échoppe
国,guó,pays ; nation
果,guǒ,fruit ; résultat
汉,hàn,Han ; chinois
好,hǎo,bon ; bien
喝,hē,boire
和,hé,et ; harmonie
很,hěn,très
后,hòu,après ; derrière
候,hòu,période ; attendre
话,huà,parole
欢,huān,joie
回,huí,retourner ; fois
会,huì,savoir ; futur ; possible
火,huǒ,feu ; chaud
机,jī,machine ; appareil
几,jǐ,combien ; quelques
家,jiā,maison ; famille
见,jiàn,voir
叫,jiào,appeler
觉,jué,sommeil
姐,jiě,sœur
今,jīn,aujourd'hui
京,jīng,capitale ; Pékin
九,jiǔ,neuf
开,kāi,ouvrir ; conduire
看,kàn,regarder
客,kè,visiteur
快,kuài,morceau ; fragment
来,lái,venir
老,lǎo,vieux ; ancien
了,le,particule aspectuelle
冷,lěng,froid
里,lǐ,dedans
两,liǎng,deux ; 50g
亮,liàng,clair ; lumineux
零,líng,zéro
六,liù,six
妈,mā,maman
吗,ma,question
买,mǎi,acheter
猫,māo,chat
么,me,suffixe
没,méi,ne pas ; absence
们,men,pluriel
米,mǐ,riz ; mètre
面,miàn,face ; aspect
名,míng,nom ; prénom
明,míng,clair ; brillant
哪,nǎ,quel ; lequel
那,nà,alors ; celui-là
男,nán,homme
脑,nǎo,cerveau
呢,ne,interrogatif ; suspension
能,néng,pouvoir ; capable
你,nǐ,tu ; toi
年,nián,année
女,nǚ,femme
朋,péng,ami
漂,piāo,flotter ; élégant
苹果,píng,pomme
七,qī,sept ; 7
期,qī,période
起,qǐ,se lever
汽,qì,vapeur
气,qì,souffle ; énergie
前,qián,avant
钱,qián,argent
请,qǐng,inviter ; prier
去,qù,aller
热,rè,chaud
人,rén,humain
认,rèn,reconnaître
日,rì,soleil ; jour
三,sān,trois
商,shāng,commerçant
上,shàng,passé ; dessus
少,shǎo,peu
谁,shéi,qui
什,shén,quoi
生,shēng,naître ; vivre
师,shī,maître
十,shí,dix
时,shí,heure
是,shì,être
视,shì,vue
书,shū,livre
水,shuǐ,eau
睡,shuì,dormir
说,shuō,parler
四,sì,quatre
岁,suì,année
她,tā,elle
他,tā,il
太,tài,trop
天,tiān,jour ; ciel
听,tīng,écouter
同,tóng,identique
喂,wèi,allo
我,wǒ,je
五,wǔ,cinq
午,wǔ,midi
西,xī,ouest
习,xí,s'exercer
喜,xǐ,aimer ; joie
系,xì,lier
下,xià,fois ; dessous
先,xiān,d'abord
现,xiàn,présent
想,xiǎng,penser ; vouloir
小,xiǎo,petit ; jeune
校,xiào,école
些,xiē,plusieurs
写,xiě,écrire
谢,xiè,remercier
星,xīng,étoile
兴,xìng,enthousiasme
学,xué,étudier
样,yàng,forme ; sorte
一,yī,un ; 1
衣,yī,habit
医,yī,médecin
椅,yǐ,chaise
影,yǐng,ombre
友,yǒu,ami
有,yǒu,avoir
雨,yǔ,pluie
语,yǔ,langue
院,yuàn,institut
月,yuè,lune ; mois
在,zài,être là
再,zài,encore
怎,zěn,comment
站,zhàn,debout
这,zhè,ce ; ceci
这,zhèi,ce ; ceci
中,zhōng,centre ; Chine
钟,zhōng,cloche
住,zhù,habiter
桌,zhuō,table
字,zì,caractère ; lettre
子,zi,suffixe
租,zū,louer
昨,zuó,hier
坐,zuò,s'asseoir
做,zuò,faire
作,zuò,écrire
